,name,address,brand,is_self,gas,diesel,washcar,lpg,fixcar,convenience,hour24,gu,lat,lng
105,(주)창원CW,서울 광진구 광나루로 460 (화양동),현대오일뱅크,Y,"1,544","1,494",Y,N,N,N,N,광진구,37.5450546,127.0803615
106,현대오일뱅크(주)직영 능동주유소,서울 광진구 천호대로 584 (능동),현대오일뱅크,Y,"1,544","1,494",Y,N,Y,N,Y,광진구,37.5555727,127.0823555
107,현대오일뱅크(주) 중원셀프주유소,서울 광진구 동일로 398 (중곡동),현대오일뱅크,Y,"1,546","1,497",Y,N,N,N,N,광진구,37.5626197,127.0853672
108,현대오일뱅크(주)직영 중곡현대주유소,서울 광진구 동일로 435 (중곡동),현대오일뱅크,Y,"1,546","1,499",Y,N,N,N,N,광진구,37.5609019,127.095729
109,현대오일뱅크㈜직영 장호셀프주유소,서울 광진구 자양로 37 (자양동),현대오일뱅크,Y,"1,565","1,524",Y,N,Y,N,N,광진구,37.53122219999999,127.0857552
110,용마주유소,서울 광진구 용마산로 68 (중곡동),GS칼텍스,N,"1,594","1,534",N,N,N,N,N,광진구,37.5596944,127.087859
111,대원주유소,서울 광진구 용마산로 122 (중곡동),S-OIL,N,"1,594","1,534",N,N,N,N,N,광진구,37.5645204,127.0870429
112,(주)장수주유소,서울 광진구 동일로 266 (군자동),SK에너지,N,"1,595","1,594",N,N,Y,N,Y,광진구,37.5549591,127.0715183
113,정해네트웍스(주)일진주유소,서울 광진구 동일로 413 (중곡동),S-OIL,Y,"1,597","1,497",Y,N,N,N,Y,광진구,37.5680828,127.0889827
114,태양주유소,서울 광진구 동일로 345 (중곡동),현대오일뱅크,N,"1,654","1,594",N,N,N,N,Y,광진구,37.5626197,127.0853672
115,삼호주유소,서울 광진구 천호대로 809 (광장동),S-OIL,Y,"1,657","1,637",Y,N,N,N,Y,광진구,37.5456366,127.1036719
116,유니스에너지 자양주유소,서울 광진구 아차산로 298 (자양동),SK에너지,N,"1,668","1,648",Y,N,N,N,Y,광진구,37.5324005,127.0715809
117,강평주유소,서울 광진구 아차산로 616 (광장동),SK에너지,N,"1,698","1,648",Y,N,N,N,Y,광진구,37.5475468,127.1072399
118,서서울고속주유소,서울 구로구 경인로 150 (오류동),SK에너지,Y,"1,550","1,485",Y,N,N,N,Y,구로구,37.49164,126.8428088
119,신성주유소,서울 구로구 구로동로 187 (구로제2동),현대오일뱅크,Y,"1,565","1,525",Y,N,N,N,N,구로구,37.49511,126.8823151
120,극동유화(주) 항동주유소,서울 구로구 서해안로 2154 (항동),S-OIL,Y,"1,565","1,485",Y,N,N,N,N,구로구,37.4911149,126.8395931
121,남선석유(주)풀페이주유소,서울 구로구 경인로 41 (온수동),S-OIL,Y,"1,565","1,485",Y,N,N,N,N,구로구,37.4899652,126.8254874
122,처음처럼주유소,서울 구로구 오리로 1299 (궁동),S-OIL,N,"1,569","1,498",N,N,N,N,N,구로구,37.5003075,126.8289067
123,(주)한미석유구로그린주유소,서울 구로구 구로중앙로 76 (구로동),GS칼텍스,Y,"1,575","1,505",Y,N,Y,N,N,구로구,37.4962231,126.8885534
124,구인주유소,서울 구로구 경인로 558 (구로동),SK에너지,N,"1,584","1,544",Y,N,Y,Y,N,구로구,37.504209,126.8860667
125,SK구로주유소,서울 구로구 구일로 94 (구로동),SK에너지,N,"1,584","1,544",Y,N,N,N,N,구로구,37.4935494,126.8721653
126,현대오일뱅크㈜직영 신오류주유소,서울 구로구 경인로 161 (오류동),현대오일뱅크,N,"1,597","1,529",Y,N,Y,N,N,구로구,37.491358,126.839872
